newsid,companyid,PubDate,headline,subsection,weblink,source
0,0,2021-01-15,N.R.A. Seeks Texas Reboot As It Declares Bankruptcy,Politics,https://www.nytimes.com/2021/01/15/us/politics/nra-bankruptcy.html,The New York Times
1,4,2021-01-15,BIDEN PLANS BLITZ OF VACCINE SHOTS IN FIRST 3 MONTHS,Politics,https://www.nytimes.com/2021/01/15/us/politics/biden-coronavirus-vaccine.html,The New York Times
2,4,2021-01-15,Officials Screening Fliers To Harden Capital’s Shield,Politics,https://www.nytimes.com/2021/01/15/us/politics/inauguration-security.html,The New York Times
3,4,2021-01-15,Red Tape Slows Vaccination,NULL,https://www.nytimes.com/2021/01/15/opinion/coronavirus-vaccine.html,The New York Times
4,4,2021-01-15,NULL,NULL,https://www.nytimes.com/2021/01/15/arts/kim-tschang-yeul-dies-.html,The New York Times
5,4,2021-01-15,NULL,NULL,https://www.nytimes.com/2021/01/15/us/tom-lankford-dead.html,The New York Times
6,4,2021-01-15,NULL,NULL,https://www.nytimes.com/2021/01/15/well/alcoholism-pandemic-dry-january.html,The New York Times
7,4,2021-01-15,"Philip J. Smith, Who Wielded Enormous Power Over Broadway, Dies at 89",NULL,https://www.nytimes.com/2021/01/15/theater/Philip-J-Smith-dead.html,The New York Times
8,4,2021-01-15,NULL,NULL,https://www.nytimes.com/2021/01/15/health/covid-cdc-variant.html,The New York Times
9,4,2021-01-15,NULL,NULL,https://www.nytimes.com/2021/01/15/us/shirley-abrahamson-dead.html,The New York Times
10,4,2021-01-15,NULL,NULL,https://www.nytimes.com/2021/01/15/podcasts/impeachment-pandemic-social-media.html,The New York Times
11,14,2021-01-15,WhatsApp Pushes Back Privacy Update as Misinformation Spreads and Some Users Flee,NULL,https://www.nytimes.com/2021/01/15/technology/whatsapp-privacy-changes-delayed.html,The New York Times
12,14,2021-01-15,Big Business Breaks With Republicans as Leaders Balk at Chaos,NULL,https://www.nytimes.com/2021/01/15/business/republicans-business-trump.html,The New York Times
13,14,2021-01-15,NULL,NULL,https://www.nytimes.com/2021/01/15/technology/when-tech-antitrust-failed.html,The New York Times
14,14,2021-01-15,Investors’ Faith Grows in Overlooked Value Stocks,Mutual Funds,https://www.nytimes.com/2021/01/15/business/mutfund/mutual-funds-vaccine-investment-value-growth.html,The New York Times
15,14,2021-01-15,The Pros and Cons of Muting the Ups and Downs,Mutual Funds,https://www.nytimes.com/2021/01/15/business/mutfund/mutual-funds-volatility-stability.html,The New York Times
16,14,2021-01-15,The Market’s Puzzling Rise Lifted Diverse Funds,Mutual Funds,https://www.nytimes.com/2021/01/15/business/mutfund/the-stock-markets-perplexing-rise-lifted-many-kinds-of-funds.html,The New York Times
17,14,2021-01-15,NULL,NULL,https://www.nytimes.com/2021/01/15/opinion/police-family-members.html,The New York Times
18,14,2021-01-15,NULL,The Daily,https://www.nytimes.com/2021/01/15/podcasts/the-daily/impeachment-peter-meijer-trump.html,The New York Times
19,14,2021-01-15,NULL,NULL,https://www.nytimes.com/2021/01/15/opinion/the-argument-trump-impeachment-twitter-ban.html,The New York Times
20,14,2021-01-15,NULL,NULL,https://www.nytimes.com/2021/01/15/opinion/tech-hope-america.html,The New York Times
21,1,2021-01-15,NULL,NULL,https://www.nytimes.com/2021/01/15/business/china-gdp-growth.html,The New York Times
22,1,2021-01-13,The Stunning Fall of a ‘Toxic Tort’ Lawyer Who Won Billions,NULL,https://www.nytimes.com/2021/01/13/business/erin-brockovich-thomas-girardi-boeing.html,The New York Times
23,1,2021-01-13,NULL,Asia Pacific,https://www.nytimes.com/2021/01/13/world/asia/indonesian-plane-crash-mothball.html,The New York Times
24,1,2021-01-13,NULL,NULL,https://www.nytimes.com/2021/01/12/briefing/impeachment-coronavirus-ireland.html,The New York Times
25,1,2021-01-12,NULL,NULL,https://www.nytimes.com/2021/01/12/briefing/china-currency-virus-variant-japan-impeachment.html,The New York Times
26,1,2021-01-12,Amazon Fuels a Boom in Air Cargo Projects,NULL,https://www.nytimes.com/2021/01/12/business/air-cargo-airports-amazon.html,The New York Times
27,1,2021-01-12,NULL,Asia Pacific,https://www.nytimes.com/2021/01/12/world/asia/indonesia-plane-crash-black-box.html,The New York Times
28,1,2021-01-11,‘I’m Still Shocked’: Indonesian Plane Crash Stuns a Village,Asia Pacific,https://www.nytimes.com/2021/01/11/world/asia/indonesia-plane-crash-fishermen.html,The New York Times
29,1,2021-01-11,NULL,DealBook,https://www.nytimes.com/2021/01/11/business/dealbook/corporate-political-donations.html,The New York Times
30,1,2021-01-11,NULL,NULL,https://www.nytimes.com/2021/01/11/briefing/trump-impeachment-plane-crash-florida-coronavirus.html,The New York Times
31,21,2021-01-15,Investors’ Faith Grows in Overlooked Value Stocks,Mutual Funds,https://www.nytimes.com/2021/01/15/business/mutfund/mutual-funds-vaccine-investment-value-growth.html,The New York Times
32,21,2021-01-15,NULL,NULL,https://www.nytimes.com/2021/01/15/style/snapchat-spotlight.html,The New York Times
33,21,2021-01-12,NULL,NULL,https://www.nytimes.com/2021/01/12/business/walmart-political-donations-Republicans.html,The New York Times
34,21,2021-01-12,IBM Bans Political Donations. So Should Other Companies.,DealBook,https://www.nytimes.com/2021/01/12/business/dealbook/political-donations-ibm.html,The New York Times
35,21,2021-01-12,Companies Suspending Campaign Donations,NULL,https://www.nytimes.com/2021/01/11/business/corporate-donations-politics.html,The New York Times
36,21,2021-01-12,Trump’s Brand Loses Its Luster In the Backlash,NULL,https://www.nytimes.com/2021/01/11/business/trump-brand-capitol-mob.html,The New York Times
37,21,2021-01-11,NULL,NULL,https://www.nytimes.com/2021/01/11/briefing/impeachment-inauguration-coronavirus.html,The New York Times
38,21,2021-01-11,The Many Entities Cutting Ties With Trump,Politics,https://www.nytimes.com/2021/01/11/us/politics/trump-politicians-donations-degrees.html,The New York Times
39,21,2021-01-11,NULL,NULL,https://www.nytimes.com/2021/01/11/business/banks-citigroup-goldman-sachs-politicians.html,The New York Times
40,21,2021-01-11,NULL,DealBook,https://www.nytimes.com/2021/01/11/business/dealbook/corporate-political-donations.html,The New York Times
41,24,2021-01-15,Investors’ Faith Grows in Overlooked Value Stocks,Mutual Funds,https://www.nytimes.com/2021/01/15/business/mutfund/mutual-funds-vaccine-investment-value-growth.html,The New York Times
42,24,2021-01-12,"As Brands Flee President, MyPillow Does Opposite",Media,https://www.nytimes.com/2021/01/12/business/media/mypillow-mike-lindell-trump.html,The New York Times
43,24,2021-01-12,NULL,NULL,https://www.nytimes.com/2021/01/12/business/walmart-political-donations-Republicans.html,The New York Times
44,24,2021-01-12,NULL,NULL,https://www.nytimes.com/2021/01/12/briefing/trump-mob-impeachment-gorillas-san-diego-zoo.html,The New York Times
45,24,2021-01-12,Companies Suspending Campaign Donations,NULL,https://www.nytimes.com/2021/01/11/business/corporate-donations-politics.html,The New York Times
46,24,2021-01-11,NULL,NULL,https://www.nytimes.com/2021/01/11/briefing/impeachment-inauguration-coronavirus.html,The New York Times
47,24,2021-01-11,The Many Entities Cutting Ties With Trump,Politics,https://www.nytimes.com/2021/01/11/us/politics/trump-politicians-donations-degrees.html,The New York Times
48,24,2021-01-11,NULL,NULL,https://www.nytimes.com/2021/01/11/business/banks-citigroup-goldman-sachs-politicians.html,The New York Times
49,24,2021-01-09,"Once a Prized Partner, A Lobbying Behemoth  Wants Trump Removed",NULL,https://www.nytimes.com/2021/01/09/business/national-association-manufacturers-trump.html,The New York Times
